,num_data_size,deter_quicksort_time_costed,random_quicksort_time_costed
0,10000,0.006314754486083984,0.0008111000061035156
1,15000,0.009135007858276367,0.0011870861053466797
2,20000,0.012701034545898438,0.0015444755554199219
3,25000,0.014813423156738281,0.002034902572631836
4,30000,0.01781177520751953,0.002178192138671875
5,35000,0.019017696380615234,0.002908468246459961
6,40000,0.022275686264038086,0.002964496612548828
7,45000,0.025916099548339844,0.003082275390625
8,50000,0.028402090072631836,0.0037560462951660156
9,55000,0.0301663875579834,0.004174232482910156
10,60000,0.03317594528198242,0.004599094390869141
11,65000,0.037723541259765625,0.004958152770996094
12,70000,0.04177260398864746,0.005635261535644531
13,75000,0.04218244552612305,0.006198883056640625
14,80000,0.046627044677734375,0.005584001541137695
15,85000,0.04781460762023926,0.006894588470458984
16,90000,0.05229544639587402,0.007163286209106445
17,95000,0.05042529106140137,0.007628679275512695
18,100000,0.041541337966918945,0.004827260971069336
19,105000,0.04187655448913574,0.0053272247314453125
20,110000,0.04316091537475586,0.0058901309967041016
21,115000,0.04561138153076172,0.006153583526611328
22,120000,0.05120849609375,0.006652116775512695
23,125000,0.05588030815124512,0.006657838821411133
24,130000,0.050475120544433594,0.007508516311645508
25,135000,0.051239728927612305,0.0073316097259521484
26,140000,0.05471491813659668,0.0074558258056640625
27,145000,0.05801224708557129,0.007223606109619141
28,150000,0.06007575988769531,0.007207632064819336
29,155000,0.06067371368408203,0.00861811637878418
30,160000,0.06684470176696777,0.008678913116455078
31,165000,0.06582283973693848,0.008892059326171875
32,170000,0.06659579277038574,0.009320259094238281
33,175000,0.07310009002685547,0.010411739349365234
34,180000,0.06978631019592285,0.009070396423339844
35,185000,0.07164406776428223,0.01079869270324707
36,190000,0.08203291893005371,0.010742664337158203
37,195000,0.07567667961120605,0.010619401931762695
38,200000,0.07934236526489258,0.010753154754638672
39,205000,0.08273148536682129,0.010797977447509766
40,210000,0.0888071060180664,0.011468648910522461
41,215000,0.08488297462463379,0.01110076904296875
42,220000,0.09015941619873047,0.012344121932983398
43,225000,0.0848991870880127,0.012037038803100586
44,230000,0.09079217910766602,0.013055801391601562
45,235000,0.09499621391296387,0.013705015182495117
46,240000,0.09407544136047363,0.012143373489379883
47,245000,0.09914970397949219,0.012727737426757812
48,250000,0.09946918487548828,0.013779640197753906
49,255000,0.10811257362365723,0.013741016387939453
50,260000,0.10921716690063477,0.012280941009521484
51,265000,0.10944890975952148,0.01327657699584961
52,270000,0.11208438873291016,0.0151824951171875
53,275000,0.11021304130554199,0.014282703399658203
54,280000,0.11450839042663574,0.014579534530639648
55,285000,0.11774230003356934,0.01381540298461914
56,290000,0.11318159103393555,0.015540361404418945
57,295000,0.12178540229797363,0.015462398529052734
58,300000,0.1251673698425293,0.01703929901123047
59,305000,0.12588715553283691,0.016796350479125977
60,310000,0.1322612762451172,0.014849424362182617
61,315000,0.13001251220703125,0.017243623733520508
62,320000,0.13190412521362305,0.015776872634887695
63,325000,0.13066577911376953,0.01841878890991211
64,330000,0.13305306434631348,0.018545866012573242
65,335000,0.14588308334350586,0.017792463302612305
66,340000,0.15574193000793457,0.019534826278686523
67,345000,0.14362120628356934,0.01847362518310547
68,350000,0.1499943733215332,0.018932104110717773
69,355000,0.15382766723632812,0.019628047943115234
70,360000,0.1512773036956787,0.01938772201538086
71,365000,0.1592421531677246,0.01974964141845703
72,370000,0.1629927158355713,0.02023148536682129
73,375000,0.16978693008422852,0.021057605743408203
74,380000,0.16095304489135742,0.017519235610961914
75,385000,0.16040921211242676,0.021254777908325195
76,390000,0.16666126251220703,0.019242286682128906
77,395000,0.16018319129943848,0.02167820930480957
78,400000,0.17290544509887695,0.021816253662109375
79,405000,0.17533469200134277,0.021958112716674805
80,410000,0.17420601844787598,0.021835803985595703
81,415000,0.17013072967529297,0.02253103256225586
82,420000,0.17281484603881836,0.02292919158935547
83,425000,0.1804354190826416,0.022642850875854492
84,430000,0.1898810863494873,0.023920059204101562
85,435000,0.18355369567871094,0.024634361267089844
86,440000,0.18451714515686035,0.020868539810180664
87,445000,0.17895007133483887,0.023105382919311523
88,450000,0.1911628246307373,0.020935773849487305
89,455000,0.1872413158416748,0.02309250831604004
90,460000,0.20820403099060059,0.02594733238220215
91,465000,0.2081916332244873,0.023485422134399414
92,470000,0.21686816215515137,0.02662348747253418
93,475000,0.19220423698425293,0.025296926498413086
94,480000,0.20013165473937988,0.027175188064575195
95,485000,0.20706772804260254,0.026195287704467773
96,490000,0.23119473457336426,0.027550458908081055
97,495000,0.21844696998596191,0.023052215576171875
98,500000,0.21537446975708008,0.028270483016967773
99,505000,0.21289682388305664,0.025761842727661133
100,510000,0.2130126953125,0.024497270584106445
101,515000,0.22605061531066895,0.027170658111572266
102,520000,0.21255826950073242,0.0278017520904541
103,525000,0.21742939949035645,0.02844071388244629
104,530000,0.2264385223388672,0.029631376266479492
105,535000,0.23176026344299316,0.029805898666381836
106,540000,0.22660374641418457,0.03171539306640625
107,545000,0.21683287620544434,0.028949260711669922
108,550000,0.25961780548095703,0.029164791107177734
109,555000,0.23547649383544922,0.02873826026916504
110,560000,0.2334578037261963,0.032653093338012695
111,565000,0.2301197052001953,0.02891063690185547
112,570000,0.2545309066772461,0.030476093292236328
113,575000,0.2408299446105957,0.031795501708984375
114,580000,0.24001264572143555,0.030440568923950195
115,585000,0.2630641460418701,0.03155708312988281
116,590000,0.2567763328552246,0.029804229736328125
117,595000,0.26485204696655273,0.033415794372558594
118,600000,0.25987696647644043,0.03335690498352051
119,605000,0.2548243999481201,0.027924537658691406
